pcd,lat,long
SE1 0AA,51.498708,-0.101772
SE1 0AB,51.504038,-0.095542
SE1 0AD,51.499568,-0.101016
SE1 0AE,51.498575,-0.104112
SE1 0AF,51.498206,-0.104098
SE1 0AG,51.499201,-0.102677
SE1 0AH,51.499034,-0.102508
SE1 0AJ,51.49918,-0.100399
SE1 0AL,51.504758,-0.096103
SE1 0AN,51.499042,-0.103516
SE1 0AP,51.498961,-0.105234
SE1 0AQ,51.49928,-0.102138
SE1 0AR,51.504081,-0.095944
SE1 0AS,51.503409,-0.09613
SE1 0AT,51.503555,-0.09624
SE1 0AU,51.503481,-0.096675
SE1 0AW,51.502582,-0.096712
SE1 0AX,51.502964,-0.095734
SE1 0AY,51.503481,-0.096675
SE1 0AZ,51.50366,-0.096048
SE1 0BA,51.50296,-0.100587
SE1 0BB,51.502475,-0.101072
SE1 0BD,51.502474,-0.101097
SE1 0BE,51.501741,-0.10084
SE1 0BF,51.502474,-0.101097
SE1 0BG,51.501754,-0.10107
SE1 0BH,51.502282,-0.102575
SE1 0BJ,51.501945,-0.102891
SE1 0BL,51.503102,-0.10159
SE1 0BN,51.502676,-0.102472
SE1 0BP,51.498364,-0.102795
SE1 0BQ,51.501249,-0.098785
SE1 0BS,51.503585,-0.100864
SE1 0BT,51.502556,-0.100647
SE1 0BU,51.501466,-0.099381
SE1 0BW,51.501857,-0.103572
SE1 0BX,51.50117,-0.098875
SE1 0BY,51.502558,-0.102419
SE1 0BZ,51.502786,-0.10205
SE1 0DA,51.50173,-0.09963
SE1 0DB,51.503029,-0.100959
SE1 0DD,51.498163,-0.102573
SE1 0DE,51.492762,-0.080152
SE1 0DF,51.502786,-0.10205
SE1 0DG,51.500116,-0.099884
SE1 0DH,51.49997,-0.100294
SE1 0DJ,51.503183,-0.101068
SE1 0DL,51.499917,-0.100944
SE1 0DN,51.499731,-0.099425
SE1 0DP,51.500267,-0.101996
SE1 0DQ,51.500302,-0.100294
SE1 0DR,51.499956,-0.101144
SE1 0DS,51.499058,-0.101182
SE1 0DT,51.500653,-0.098637
SE1 0DU,51.499058,-0.101182
SE1 0DW,51.500267,-0.101996
SE1 0DX,51.502983,-0.10037
SE1 0DY,51.503197,-0.100217
SE1 0DZ,51.49998,-0.102584
SE1 0EA,51.503232,-0.09961
SE1 0EB,51.502876,-0.098717
SE1 0ED,51.501221,-0.098138
SE1 0EE,51.502938,-0.099781
SE1 0EF,51.501904,-0.098153
SE1 0EG,51.501967,-0.09815
SE1 0EH,51.502938,-0.099781
