pcd,reg,lat,long
SE1 0AA,SE1,51.498708,-0.101772
SE1 0AB,SE1,51.504038,-0.095542
SE1 0AD,SE1,51.499568,-0.101016
SE1 0AE,SE1,51.498575,-0.104112
SE1 0AF,SE1,51.498206,-0.104098
SE1 0AG,SE1,51.499201,-0.102677
SE1 0AH,SE1,51.499034,-0.102508
SE1 0AJ,SE1,51.49918,-0.100399
SE1 0AL,SE1,51.504758,-0.096103
SE1 0AN,SE1,51.499042,-0.103516
SE1 0AP,SE1,51.498961,-0.105234
SE1 0AQ,SE1,51.49928,-0.102138
SE1 0AR,SE1,51.504081,-0.095944
SE1 0AS,SE1,51.503409,-0.09613
SE1 0AT,SE1,51.503555,-0.09624
SE1 0AU,SE1,51.503481,-0.096675
SE1 0AW,SE1,51.502582,-0.096712
SE1 0AX,SE1,51.502964,-0.095734
SE1 0AY,SE1,51.503481,-0.096675
SE1 0AZ,SE1,51.50366,-0.096048
SE1 0BA,SE1,51.50296,-0.100587
SE1 0BB,SE1,51.502475,-0.101072
SE1 0BD,SE1,51.502474,-0.101097
SE1 0BE,SE1,51.501741,-0.10084
SE1 0BF,SE1,51.502474,-0.101097
SE1 0BG,SE1,51.501754,-0.10107
SE1 0BH,SE1,51.502282,-0.102575
SE1 0BJ,SE1,51.501945,-0.102891
SE1 0BL,SE1,51.503102,-0.10159
SE1 0BN,SE1,51.502676,-0.102472
SE1 0BP,SE1,51.498364,-0.102795
SE1 0BQ,SE1,51.501249,-0.098785
SE1 0BS,SE1,51.503585,-0.100864
SE1 0BT,SE1,51.502556,-0.100647
SE1 0BU,SE1,51.501466,-0.099381
SE1 0BW,SE1,51.501857,-0.103572
SE1 0BX,SE1,51.50117,-0.098875
SE1 0BY,SE1,51.502558,-0.102419
SE1 0BZ,SE1,51.502786,-0.10205
SE1 0DA,SE1,51.50173,-0.09963
SE1 0DB,SE1,51.503029,-0.100959
SE1 0DD,SE1,51.498163,-0.102573
SE1 0DE,SE1,51.492762,-0.080152
SE1 0DF,SE1,51.502786,-0.10205
SE1 0DG,SE1,51.500116,-0.099884
SE1 0DH,SE1,51.49997,-0.100294
SE1 0DJ,SE1,51.503183,-0.101068
SE1 0DL,SE1,51.499917,-0.100944
SE1 0DN,SE1,51.499731,-0.099425
SE1 0DP,SE1,51.500267,-0.101996
SE1 0DQ,SE1,51.500302,-0.100294
SE1 0DR,SE1,51.499956,-0.101144
SE1 0DS,SE1,51.499058,-0.101182
SE1 0DT,SE1,51.500653,-0.098637
SE1 0DU,SE1,51.499058,-0.101182
SE1 0DW,SE1,51.500267,-0.101996
SE1 0DX,SE1,51.502983,-0.10037
SE1 0DY,SE1,51.503197,-0.100217
SE1 0DZ,SE1,51.49998,-0.102584
SE1 0EA,SE1,51.503232,-0.09961
SE1 0EB,SE1,51.502876,-0.098717
SE1 0ED,SE1,51.501221,-0.098138
SE1 0EE,SE1,51.502938,-0.099781
SE1 0EF,SE1,51.501904,-0.098153
SE1 0EG,SE1,51.501967,-0.09815
SE1 0EH,SE1,51.502938,-0.099781
SE1 0EJ,SE1,51.503292,-0.099435
SE1 0EL,SE1,51.503431,-0.098003
SE1 0EN,SE1,51.502983,-0.098699
SE1 0EP,SE1,51.502968,-0.097748
SE1 0EQ,SE1,51.502617,-0.098717
SE1 0ER,SE1,51.502872,-0.097378
SE1 0ES,SE1,51.503262,-0.09637
SE1 0ET,SE1,51.503618,-0.096813
SE1 0EU,SE1,51.503047,-0.096394
SE1 0EW,SE1,51.502902,-0.098111
SE1 0EX,SE1,51.502959,-0.096625
SE1 0EY,SE1,51.502669,-0.096395
SE1 0EZ,SE1,51.502652,-0.101032
SE1 0FA,SE1,51.503791,-0.096403
SE1 0FB,SE1,51.504522,-0.096012
SE1 0FD,SE1,51.505938,-0.097913
SE1 0FE,SE1,51.505777,-0.097977
SE1 0FF,SE1,51.505108,-0.101103
SE1 0FG,SE1,51.505108,-0.101103
SE1 0FH,SE1,51.499348,-0.103532
SE1 0FJ,SE1,51.499485,-0.103152
SE1 0FL,SE1,51.505108,-0.101103
SE1 0FN,SE1,51.50212,-0.100348
SE1 0FP,SE1,51.50212,-0.100348
SE1 0FQ,SE1,51.50212,-0.100348
SE1 0FR,SE1,51.503863,-0.099152
SE1 0FS,SE1,51.503993,-0.097187
SE1 0FT,SE1,51.503906,-0.098346
SE1 0FU,SE1,51.502124,-0.103936
SE1 0FW,SE1,51.5054,-0.102979
SE1 0FX,SE1,51.502125,-0.10391
SE1 0FY,SE1,51.49986,-0.102992
SE1 0GB,SE1,51.500519,-0.101467
SE1 0GD,SE1,51.503875,-0.100351
SE1 0GE,SE1,51.503812,-0.099806
SE1 0HA,SE1,51.500963,-0.098322
SE1 0HB,SE1,51.502582,-0.096712
SE1 0HD,SE1,51.502606,-0.098152
SE1 0HE,SE1,51.503354,-0.099825
SE1 0HF,SE1,51.503441,-0.100225
SE1 0HG,SE1,51.503035,-0.100209
SE1 0HH,SE1,51.504758,-0.096103
SE1 0HJ,SE1,51.50438,-0.096638
SE1 0HL,SE1,51.504876,-0.096634
SE1 0HN,SE1,51.504403,-0.098078
SE1 0HP,SE1,51.504403,-0.098078
SE1 0HQ,SE1,51.50438,-0.096638
SE1 0HR,SE1,51.505007,-0.097634
SE1 0HS,SE1,51.504675,-0.097648
SE1 0HT,SE1,51.50435,-0.09759
SE1 0HU,SE1,51.504403,-0.098078
SE1 0HW,SE1,51.504403,-0.098078
SE1 0HX,SE1,51.505592,-0.100308
SE1 0HY,SE1,51.505325,-0.09948
SE1 0HZ,SE1,51.505348,-0.10092
SE1 0JA,SE1,51.50532,-0.099163
SE1 0JB,SE1,51.505348,-0.10092
SE1 0JD,SE1,51.505372,-0.10236
SE1 0JE,SE1,51.505876,-0.101316
SE1 0JF,SE1,51.506079,-0.102172
SE1 0JG,SE1,51.505372,-0.10236
SE1 0JH,SE1,51.505372,-0.10236
SE1 0JJ,SE1,51.505372,-0.10236
SE1 0JL,SE1,51.50627,-0.102323
SE1 0JN,SE1,51.500699,-0.099114
SE1 0JP,SE1,51.500699,-0.099114
SE1 0JQ,SE1,51.506429,-0.1021
SE1 0JR,SE1,51.504403,-0.098078
SE1 0JS,SE1,51.505372,-0.10236
SE1 0JT,SE1,51.505325,-0.09948
SE1 0JW,SE1,51.506294,-0.103763
SE1 0LA,SE1,51.503789,-0.096288
SE1 0LB,SE1,51.503691,-0.096897
SE1 0LD,SE1,51.50365,-0.097143
SE1 0LE,SE1,51.50368,-0.097286
SE1 0LF,SE1,51.503656,-0.097503
SE1 0LG,SE1,51.503659,-0.097662
SE1 0LH,SE1,51.503874,-0.100376
SE1 0LJ,SE1,51.503528,-0.099555
SE1 0LL,SE1,51.50362,-0.098586
SE1 0LN,SE1,51.503603,-0.099753
SE1 0LP,SE1,51.503528,-0.099555
